符号栈                                                                                                                                                             使用产生式                                                                                                                                                 读入符号                符号栈                                                                                                                                                                                                                                   
#                                                                                                                                                               <program>->{<declaration_list><statement_list>}                                                                                                       {                   int a ; int i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #             
# } <statement_list> <declaration_list>                                                                                                                         null                                                                                                                                                  int                 a ; int i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                 
# } <statement_list>                                                                                                                                            <declaration_list>-><declaration_list*>                                                                                                               int                 a ; int i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                 
# } <statement_list>                                                                                                                                            <declaration_list*>-><declaration_stat><declaration_list*>                                                                                            int                 a ; int i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                 
# } <statement_list> <declaration_list*>                                                                                                                        <declaration_stat>->intID;                                                                                                                            int                 a ; int i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                 
# } <statement_list> <declaration_list*> ; ID                                                                                                                   null                                                                                                                                                  ID                  ; int i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                   
# } <statement_list> <declaration_list*> ;                                                                                                                      null                                                                                                                                                  ;                   int i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                     
# } <statement_list> <declaration_list*>                                                                                                                        null                                                                                                                                                  int                 i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                         
# } <statement_list>                                                                                                                                            <declaration_list*>-><declaration_stat><declaration_list*>                                                                                            int                 i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                         
# } <statement_list> <declaration_list*>                                                                                                                        <declaration_stat>->intID;                                                                                                                            int                 i ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                         
