,{,int,if,else,while,for,write,read,ID,NUM,(,>,<,>=,<=,==,!=,+,-,*,/,},;,)
<program>,{|<declaration_list>|<statement_list>|},,,,,,,,,,,,,,,,,,,,,,,
<declaration_list>,#,<declaration_list*>,#,,#,#,#,#,#,,,,,,,,,,,,,#,,
<declaration_list*>,#,<declaration_stat>|<declaration_list*>,#,,#,#,#,#,#,,,,,,,,,,,,,,,
<declaration_stat>,,int|ID|;,,,,,,,,,,,,,,,,,,,,,,
<statement_list>,<statement_list*>,,<statement_list*>,,<statement_list*>,<statement_list*>,<statement_list*>,<statement_list*>,<statement_list*>,,,,,,,,,,,,,#,,
<statement_list*>,<statement>|<statement_list*>,,<statement>|<statement_list*>,,<statement>|<statement_list*>,<statement>|<statement_list*>,<statement>|<statement_list*>,<statement>|<statement_list*>,<statement>|<statement_list*>,,,,,,,,,,,,,#,,
<statement>,<compound_stat>,,<if_stat>,,<while_stat>,<for_stat>,<write_stat>,<read_stat>,<assignment_stat>,,,,,,,,,,,,,,,
<if_stat>,,,if|(|<bool_expression>|)|<statement>|<if_stat^>,,,,,,,,,,,,,,,,,,,,,
<if_stat^>,,,#,特殊处理,#,#,#,#,#,,#,,,,,,,,,,,#,,#
<while_stat>,,,,,while|(|<bool_expression>|)|<statement>,,,,,,,,,,,,,,,,,,,
<for_stat>,,,,,,for|(|<assignment_expression>|;|<bool_expression>|;|<assignment_expression>|)|<statement>,,,,,,,,,,,,,,,,,,
<write_stat>,,,,,,,write|<arithmetic_expression>|;,,,,,,,,,,,,,,,,,
<read_stat>,,,,,,,,read|ID|;,,,,,,,,,,,,,,,,
<compound_stat>,{|<statement_list>|},,,,,,,,,,,,,,,,,,,,,,,
<assignment_expression>,,,,,,,,,ID|=|<arithmetic_expression>,,,,,,,,,,,,,,,
<assignment_stat>,,,,,,,,,<assignment_expression>|;,,,,,,,,,,,,,,,
<bool_expression>,,,,,,,,,<arithmetic_expression>|<bool_expression^>,<arithmetic_expression>|<bool_expression^>,<arithmetic_expression>|<bool_expression^>,,,,,,,,,,,,,
<bool_expression^>,,,,,,,,,,,,>|<arithmetic_expression>,<|<arithmetic_expression>,>=|<arithmetic_expression>,<=|<arithmetic_expression>,==|<arithmetic_expression>,!=|<arithmetic_expression>,,,,,,,
<arithmetic_expression*>,,,,,,,,,,,,#,#,#,#,#,#,+|<term>|<arithmetic_expression>,-|<term>|<arithmetic_expression>,,,,#,#
<term>,,,,,,,,,<factor>|<term*>,<factor>|<term*>,<factor>|<term*>,,,,,,,,,,,,#,#
<term*>,,,,,,,,,,,,#,#,#,#,#,#,+|<factor>|<term*>,-|<factor>|<term*>,*|<factor>|<term>,/|<factor>|<term>,,#,#
<factor>,,,,,,,,,ID,NUM,(|<arithmetic_expression>|),,,,,,,,,,,,#,
<arithmetic_expression>,,,,,,,,,<term>|<arithmetic_expression*>,<term>|<arithmetic_expression*>,<term>|<arithmetic_expression*>,,,,,,,,,,,,,
