-1,a,1,0,(,+,/,*,!,=,>,o
S0,S1,S3,S2,S4,S5,S6,,S7,,S8,ERR
S1,S1,S1,S1,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
S2,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
S3,ERR,S3,S3,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
S4,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
S5,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
S6,ERR,ERR,ERR,ERR,ERR,ERR,S9,ERR,ERR,ERR,ERR
S7,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,S10,ERR,ERR
S8,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,S10,ERR,ERR
S9,ERR,ERR,ERR,ERR,ERR,ERR,S11,ERR,ERR,ERR,S9
S10,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
S11,ERR,ERR,ERR,ERR,ERR,S12,ERR,ERR,ERR,ERR,S9
S12,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
